year,65_more,70_more,75_more,80_more,15_64,15_19,total
1950,4110000,2340000,1060000,370000,49661000,85680000,83200000
1955,4750000,2780000,1390000,510000,54730000,86260000,89280000
1960,5350000,3190000,1630000,670000,60316755,93090000,93420000
1965,6180000,3620000,1870000,780000,67000135,108520000,98270000
1970,7330000,4350000,2210000,950000,71627272,90640000,103720000
1975,8870000,5420000,2840000,1200000,75887579,79520000,111940000
1980,10650000,6690000,3660000,1620000,78966952,82770000,117060000
1985,12470000,8280000,4710000,2220000,82563185,89830000,121050000
1990,14930000,9810000,5990000,2960000,86096863,100350000,123610000
1995,18280000,11870000,7180000,3880000,87135285,85670000,125570000
2000,22040000,14920000,9010000,4860000,86028257,75020000,126930000
2005,25760000,18300000,11640000,6360000,84011699,65930000,127770000
2010,29480000,21210000,14190000,8200000,80939051,60930000,128060000
2015,33870000,24110000,16320000,9970000,76282461,60540000,127090000
2020,36030000,27790000,18600000,11540000,73864092,57690000,126150000